"FA12.0","FA14.0","FA14.1.n.5","FA15.0","FA16.0","FA16.1n.7","FA16.2n.6","FA16.3n.6","FA16.4n.3","FA18.0","FA18.1n.9","FA18.1n.7","FA18.2n.6","FA18.3n.6","FA18.3n.3","FA18.4n.3","FA20.0","FA20.1n.11","FA20.1n.9","FA20.2","FA20.4n.6","FA20.3","FA20.4n.3","FA20.5n.3","FA22.0","FA22.1n.11","FA22.1n.9","FA21.5n.3","FA22.5n.3","FA22.6n.3","FA24.1n.9"
1.92,12.22,5.05,0.64,8.25,29.82,0.78,0.69,0.25,1.47,20.19,2.5,3.32,0.11,1.1,0.89,0.07,2.61,0.1,0.15,0.27,0.04,0.7,1.56,0.01,2.38,0.12,0.11,0.81,1.69,0.16
1.33,7.82,1.32,0.6,9.08,17.5,0.89,0.27,0.3,1.74,28.59,2.42,1.69,0.08,1.08,1.17,0.13,1.99,0.16,0.19,0.49,0.08,0.73,4,0.03,2.24,0,0.29,2.39,11.21,0.19
0.86,5.57,1.65,0.55,9.43,19.08,0.52,0.14,0.21,2.25,28.22,4.21,1.55,0.07,0.9,0.88,0.09,3.04,0.28,0.31,0.74,0.16,0.82,4.88,0.02,1.84,0.11,0.19,2.2,9.12,0.11
1.6,9.83,4.87,0.63,9.03,31.03,0.45,0.11,0.12,1.28,21.69,2.65,2.47,0.07,1.03,0.77,0.07,2.28,0.16,0.16,0.41,0.06,0.67,2.1,0.02,1.7,0.08,0.09,1.12,3.35,0.09
1.59,11.76,5.64,0.87,11.23,29.3,0.63,0.09,0.17,1.57,23.9,3.79,2.23,0.08,0.93,0.59,0.14,0.64,0.21,0.21,0.35,0.05,0.46,1.1,0.03,0.55,0.05,0.05,0.69,1.01,0.1
1.57,11.89,4.25,0.83,10.94,25.56,0.73,0.1,0.16,1.38,27.54,1.75,2.62,0.04,1.45,0.81,0.09,2.59,0.05,0.13,0.17,0.04,0.55,0.79,0.02,3.06,0,0.04,0.25,0.46,0.15
1.22,9.03,3.56,0.47,7.81,22.02,0.65,0.16,0.26,1.32,27.28,1.7,1.73,0.05,0.97,0.98,0.1,5.77,0.11,0.15,0.31,0.06,0.76,2.32,0.02,5.97,0,0.13,1.29,3.65,0.17
1.34,11.68,4.26,0.78,7.71,29.94,0.57,0.18,0.17,1.26,22.68,2.4,2.9,0.07,1.35,0.96,0.07,3.56,0.03,0.18,0.24,0.06,0.71,1.33,0,3.72,0.11,0.07,0.56,1.01,0.11
1.15,7.25,2.34,0.65,8.46,21.21,0.56,0.27,0.28,1.48,22.01,2.75,2.76,0.08,1.28,1.43,0.09,3.29,0.23,0.33,0.47,0.1,0.9,4.37,0.02,2.88,0.22,0.24,2.88,9.87,0.17
3.01,15.41,7.94,1.12,7.53,36.86,1.01,0.19,0.12,0.55,17.07,0.85,1.69,0.04,0.66,0.44,0.04,0.53,0.14,0.06,0.14,0.02,0.23,0.76,0,0.75,0.05,0.05,0.87,1.68,0.19
3.45,19.53,7,1.1,9.56,28.2,0.87,0.13,0.12,0.48,20.62,0.83,2.13,0.02,0.92,0.31,0.04,1.1,0.08,0.05,0.09,0.02,0.18,0.42,0,2.1,0.04,0.03,0.12,0.26,0.22
1.66,11.73,5.06,0.75,12.06,28.13,0.93,0.25,0.21,1.4,25.36,2.14,1.25,0.05,0.62,0.49,0.08,1.81,0.12,0,0.32,0.04,0.5,1.2,0.02,2.03,0.07,0.09,0.49,0.95,0.22
